  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
 536 20220910 015532.458 66.50851 -17.62514 13.618  0.75  0.83
 537 20220910 015550.167 66.52011 -17.62083 10.005  1.34  1.50
 538 20220910 015749.616 66.53506 -17.63506 15.200  2.37  2.20
 539 20220910 015906.498 66.53642 -17.64681 14.852  1.15  1.37
 540 20220910 015919.428 66.52969 -17.63374 16.110  1.35  1.56
 541 20220910 020202.655 66.53128 -17.64742 15.567  2.24  2.11
 542 20220910 020805.182 66.49376 -17.58721  6.552  1.51  1.39
 543 20220910 020853.649 66.52638 -17.60783 14.641  2.19  2.22
 544 20220910 021706.515 66.54885 -17.67933 13.846  1.43  1.77
 545 20220910 021902.893 66.50885 -17.65860  2.358  1.47  1.53
 546 20220910 022241.035 65.03628 -16.78064  2.212  2.13  1.80
 547 20220910 023257.508 66.49225 -17.59590 11.190  1.26  1.39
 548 20220910 023511.097 66.51647 -17.60972 13.508  3.56  3.76
 549 20220910 023621.717 66.52897 -17.61465 15.404  2.52  2.70
 550 20220910 023741.969 66.51464 -17.60506 10.005  2.07  1.95
 551 20220910 023829.110 66.51862 -17.61720 13.810  2.16  2.47
 552 20220910 023957.434 66.52096 -17.61464 13.332  2.11  2.18
 553 20220910 024116.861 66.52679 -17.66326 16.849  1.57  1.50
 554 20220910 024337.393 66.53317 -17.60162 14.497  2.28  2.21
 555 20220910 024507.462 66.56153 -17.68843 13.542  3.98  4.32
 556 20220910 024825.591 66.58551 -17.69131 14.808  2.95  2.80
 557 20220910 024942.068 66.54927 -17.68385 12.124  1.37  1.59
 558 20220910 025108.763 66.56020 -17.71153 15.214  2.24  2.45
 559 20220910 025254.086 66.57564 -17.68424 12.085  1.60  1.49
 560 20220910 025441.215 66.51357 -17.61268 12.319  1.96  1.76
 561 20220910 025519.738 66.54647 -17.64804 10.005  1.82  1.78
 562 20220910 025728.384 66.54861 -17.60187 16.163  1.58  1.51
 563 20220910 025843.076 66.57538 -17.72995 14.336  2.28  2.33
 564 20220910 025939.779 66.54437 -17.65970  8.084  2.06  1.91
 565 20220910 025957.867 66.56724 -17.71609 12.743  1.66  2.03
 566 20220910 030015.485 66.55953 -17.67565 13.243  2.28  1.94
 567 20220910 030039.309 66.50834 -17.61073 10.005  3.08  2.93
 568 20220910 030127.115 66.51331 -17.60948 10.005  2.76  2.70
 569 20220910 030219.115 66.61738 -17.85179  7.832  1.51  1.66
 570 20220910 030304.244 66.50774 -17.63384 10.005  2.69  2.63
 571 20220910 030404.755 66.54810 -17.68971 13.331  2.77  2.93
 572 20220910 030527.605 66.51116 -17.60483 10.005  2.27  2.07
 573 20220910 030628.382 66.52538 -17.58435 10.005  1.60  1.53
 574 20220910 030648.928 66.58395 -17.71003 13.639  2.57  2.84
 575 20220910 030744.795 66.50954 -17.60382 10.005  2.30  2.32
 576 20220910 030908.254 66.51231 -17.61436 10.005  1.32  1.64
 577 20220910 030915.264 66.53992 -17.61097  2.409  1.95  1.77
 578 20220910 030947.776 66.52765 -17.65425 10.005  1.46  1.51
 579 20220910 031212.808 66.56273 -17.66130 10.563  2.26  2.16
 580 20220910 031333.496 66.52007 -17.61976 14.962  2.09  1.97
 581 20220910 031418.678 66.50150 -17.64121 10.005  2.62  2.25
 582 20220910 031520.886 66.52697 -17.65064 17.781  1.78  2.01
 583 20220910 031547.993 66.54819 -17.68369 10.005  2.54  2.50
 584 20220910 031724.461 66.55373 -17.66841 10.005  2.64  2.59
 585 20220910 031819.349 66.55766 -17.67736 10.005  2.38  2.32
 586 20220910 031919.635 66.56814 -17.64696 11.067  1.79  1.74
 587 20220910 032011.123 66.50137 -17.57315 10.005  1.56  1.62
 588 20220910 032042.409 66.54488 -17.67125 10.005  3.63  3.88
 589 20220910 032115.877 66.57076 -17.70537 13.675  3.59  3.52
 590 20220910 032247.468 66.56741 -17.67496 10.005  2.29  2.09
 591 20220910 032320.296 66.57519 -17.71271 11.941  1.62  1.77
 592 20220910 032502.135 66.56100 -17.66510 13.334  2.57  2.41
 593 20220910 032912.189 66.51901 -17.60888 10.005  1.26  1.30
 594 20220910 033201.549 66.47730 -17.58053 10.005  1.50  1.59
 595 20220910 033459.549 66.50706 -17.62763 12.986  1.87  1.91
 596 20220910 033735.896 66.50566 -17.62692 12.694  3.21  3.31
 597 20220910 033912.336 66.50265 -17.63410 10.005  1.96  1.80
 598 20220910 033951.264 66.63251 -17.87138  9.439  2.22  2.30
 599 20220910 034019.822 66.51473 -17.61664 10.005  2.19  2.08
 600 20220910 034114.916 66.57644 -17.65698 13.435  1.34  1.55
 601 20220910 034217.008 66.51671 -17.59628 10.005  1.45  1.42
 602 20220910 034238.962 66.53031 -17.63574  3.340  1.86  1.94
 603 20220910 035624.510 66.47321 -17.62502  0.246  1.79  1.58
 604 20220910 035948.827 65.04575 -16.70439  2.966  1.30  0.80
 605 20220910 043334.385 66.52065 -17.58637 10.005  2.27  2.40
 606 20220910 043551.587 63.93665 -22.09232  5.723  0.29 -0.77
 607 20220910 050737.864 66.49525 -17.60959 10.005  3.59  3.63
 608 20220910 051321.736 66.52061 -17.61905 12.212  3.05  2.95
 609 20220910 052211.444 63.97095 -21.52569 11.310  0.63  0.42
 610 20220910 105045.421 63.79703 -22.78352  5.088  0.93  0.87
 611 20220910 105447.639 63.78500 -22.81580  5.951  1.21  1.05
 612 20220910 105827.789 66.56487 -17.69274 11.604  1.59  1.69
 613 20220910 105908.258 66.51175 -17.59078 10.005  2.43  2.37
 614 20220910 111605.470 66.60955 -17.88135  8.334  1.26  1.39
 615 20220910 115735.715 63.96592 -21.34134  6.365  0.66  0.18
 616 20220910 120912.470 63.91986 -22.18810  1.794 -0.10 -0.80
 617 20220910 125139.326 63.97380 -21.54949  7.678  1.08  0.94
 618 20220910 132139.716 63.97110 -21.55857  7.273  0.55  0.32
 619 20220910 133810.603 63.90261 -22.22091  5.253  0.33 -0.07
 620 20220910 140748.240 63.96604 -21.55232  8.671  0.51  0.20
 621 20220910 141555.254 63.92900 -22.11203  5.578  0.41 -0.38
 622 20220910 144429.635 66.53265 -17.62614 16.342  3.90  4.17
 623 20220910 144519.589 66.51237 -17.58530 10.005  3.16  3.02
 624 20220910 144644.433 66.50992 -17.61177 10.005  1.95  2.10
 625 20220910 145422.328 66.51099 -17.60861 10.005  2.41  2.43
 626 20220910 145439.745 66.52464 -17.71090 10.005  2.73  2.82
 627 20220910 145528.583 66.51755 -17.63464 10.005  2.01  2.19
 628 20220910 145645.090 66.51747 -17.62784 10.005  2.22  2.42
 629 20220910 145710.023 66.51985 -17.62687 10.005  1.97  2.06
 630 20220910 154149.456 63.58755 -19.11877  0.135  2.32  1.08
 631 20220910 154510.140 63.97181 -21.55098  8.043  1.14  1.00
 632 20220910 154635.075 66.53345 -17.69724  9.537  2.04  1.96
 633 20220910 154812.026 63.97398 -21.55433  7.532  0.52  0.30
 634 20220910 155000.995 63.97783 -21.54762  8.233  0.69  0.35
 635 20220910 155119.389 63.90961 -22.21377  4.694  0.83  0.46
 636 20220910 170559.060 66.47412 -17.54058 10.005  2.15  2.40
 637 20220910 170937.740 63.85485 -22.16141  5.667  0.21 -1.06
 638 20220910 172838.425 66.50307 -17.63060 10.005  1.09  0.99
 639 20220910 172902.673 64.01302 -21.59109  8.120  0.84  1.13
 640 20220910 175317.828 63.90892 -22.21409  4.838  0.57 -0.05
 641 20220910 180821.239 63.89580 -22.26190  9.132  0.57 -0.33
 642 20220910 181322.471 66.50279 -17.58050  0.960  1.03  0.98
 643 20220910 181544.367 63.90630 -22.21398  4.073  0.26 -0.15
 644 20220910 192415.141 63.92390 -22.18906  2.920 -0.06 -0.53
 645 20220910 215421.097 63.94559 -19.19970  0.135  1.43  1.17
 646 20220910 222314.955 64.62566 -17.39506  1.427  1.94  1.80
 647 20220910 225325.072 63.91677 -22.19713  0.135  0.30 -0.33
 648 20220910 225547.689 63.97702 -20.94410  7.387  1.31  1.26
 649 20220910 230250.844 63.92124 -22.06314  6.642  0.50 -0.58
 650 20220910 234620.962 63.90862 -22.21218  4.855  0.48 -0.14
 651 20220911 000749.618 66.62370 -17.84730  8.284  1.32  1.36
 652 20220911 000937.464 66.51870 -17.62119 12.846  1.30  0.98
 653 20220911 001221.525 66.52697 -17.61638 13.062  1.25  1.31
 654 20220911 001403.127 66.51990 -17.61310 12.628  1.31  1.17
 655 20220911 001708.197 66.52059 -17.62098 14.150  0.90  0.90
 656 20220911 002852.641 66.56055 -17.65415 10.891  0.94  1.34
 657 20220911 002924.653 66.57425 -17.66339 14.007  2.01  1.77
 658 20220911 003314.562 63.89386 -22.37938  5.569  0.94  0.50
 659 20220911 005152.203 66.49734 -17.54823 10.005  2.23  2.08
 660 20220911 005246.621 66.50321 -17.54786 12.102  1.43  1.53
 661 20220911 010403.809 66.52392 -17.60049 15.065  1.98  1.97
 662 20220911 010433.776 66.50862 -17.58798 10.005  2.47  2.18
 663 20220911 011150.728 66.50798 -17.60683  9.282  1.23  1.18
 664 20220911 011435.229 66.47665 -17.53666  2.283  1.08  1.31
 665 20220911 011740.316 66.56795 -17.73183 14.551  2.08  2.02
 666 20220911 012141.366 66.55614 -17.73828 13.290  1.63  1.52
 667 20220911 012412.956 66.55749 -17.72943 13.492  1.91  1.82
 668 20220911 012538.997 66.49513 -17.54519 13.209  1.35  1.47
 669 20220911 012747.745 66.50529 -17.58295  1.144  0.85  0.88
 670 20220911 012925.815 66.53427 -17.62938 14.592  1.93  2.00
 671 20220911 013118.628 66.50010 -17.53916 13.720  1.50  1.49
 672 20220911 013445.685 66.45777 -17.48209  1.121  1.11  1.27
 673 20220911 014207.381 66.52148 -17.61436 13.767  1.73  1.82
 674 20220911 014306.421 66.50179 -17.54707 14.536  1.20  1.26
 675 20220911 014835.572 66.50178 -17.54821 10.005  1.97  2.06
 676 20220911 014944.860 66.51964 -17.63129 14.281  1.55  1.39
 677 20220911 015120.059 66.49322 -17.54918 13.782  1.58  1.60
 678 20220911 015614.475 66.49036 -17.54624 10.005  1.17  1.19
 679 20220911 015749.818 66.49647 -17.54666 14.474  1.27  1.38
 680 20220911 015935.676 66.49461 -17.54782 15.613  1.46  1.62
 681 20220911 021334.334 66.48959 -17.53924 10.005  2.16  1.98
 682 20220911 021559.205 66.51123 -17.62243 13.577  2.45  2.17
 683 20220911 022346.223 66.49915 -17.61336 10.270  1.59  1.53
 684 20220911 022505.619 66.50049 -17.57220 10.005  2.49  2.43
 685 20220911 023129.638 66.60311 -17.89932  9.167  1.60  1.69
 686 20220911 023348.528 66.51746 -17.59379 10.776  0.97  1.03
 687 20220911 023657.534 66.58326 -17.73688  8.669  1.67  1.49
 688 20220911 025111.122 66.51051 -17.59754 10.005  1.61  1.55
 689 20220911 025244.611 66.51295 -17.60318 10.005  1.21  1.12
 690 20220911 025553.838 66.51311 -17.54823 13.588  1.57  1.54
 691 20220911 025637.717 66.52757 -17.61349 14.625  1.29  1.16
 692 20220911 030754.243 66.61616 -17.76134 12.113  2.35  2.24
 693 20220911 030951.128 66.50358 -17.56944 10.005  1.33  1.15
 694 20220911 031020.175 66.47606 -17.56980 13.048  0.99  1.16
 695 20220911 031758.952 63.85455 -22.66395  5.744  0.68 -0.24
 696 20220911 033918.393 66.52286 -17.62075 14.525  1.70  1.78
 697 20220911 035241.156 66.50465 -17.54321  4.327  1.01  1.06
 698 20220911 035306.274 66.52545 -17.61821 10.005  1.27  1.27
 699 20220911 035643.947 66.51185 -17.58995 10.005  1.14  1.09
 700 20220911 035905.646 66.50217 -17.59810 10.005  2.55  2.32
 701 20220911 041546.565 66.51355 -17.61092 10.005  2.24  2.30
 702 20220911 041721.138 66.47913 -17.55737 10.005  1.24  1.31
 703 20220911 042146.914 66.48470 -17.54894 13.063  1.15  1.24
 704 20220911 042408.644 66.49154 -17.50239 10.483  1.65  1.53
 705 20220911 042632.912 66.50604 -17.58828 10.917  1.20  1.23
 706 20220911 043022.435 66.48810 -17.56410 10.005  3.48  3.47
 707 20220911 043546.008 66.49386 -17.54828 10.354  1.38  1.71
 708 20220911 043902.768 66.49818 -17.58580 10.005  1.20  1.31
 709 20220911 043953.960 66.48215 -17.55430 12.632  1.27  1.36
 710 20220911 044211.071 66.52071 -17.61404 10.005  1.58  1.79
 711 20220911 045609.557 66.51653 -17.60160 10.005  1.06  0.92
 712 20220911 045642.426 66.48997 -17.56260 10.005  2.19  2.25
 713 20220911 045811.559 66.49252 -17.54275 13.667  1.38  1.55
 714 20220911 050111.429 66.48116 -17.58695  2.157  1.48  1.76
 715 20220911 050623.671 66.55116 -17.72070 12.524  1.29  1.78
 716 20220911 053350.500 66.52034 -17.68784  4.849  1.69  1.66
 717 20220911 053915.524 66.49052 -17.53856 10.005  3.07  3.25
 718 20220911 054146.479 66.55148 -17.74389 14.056  1.53  1.63
 719 20220911 054404.269 66.54572 -17.71911 11.583  1.15  1.42
 720 20220911 054653.547 66.53131 -17.61040 12.399  0.94  1.16
 721 20220911 060314.958 63.82790 -22.38760  5.739  1.39  0.83
 722 20220911 080823.701 63.97176 -21.55487  5.123  0.81  0.90
 723 20220911 081023.264 63.97749 -21.55860  7.495  0.95  0.67
 724 20220911 081114.504 63.97824 -21.55645  7.893  1.01  0.75
 725 20220911 081140.356 63.99256 -21.57928  7.156  0.69  0.50
 726 20220911 081242.626 63.97845 -21.55598  8.033  0.93  1.04
 727 20220911 081433.925 63.97797 -21.55465  8.468  0.25  0.15
 728 20220911 081545.691 63.97643 -21.55559  7.010  0.67  0.73
 729 20220911 081659.152 63.97698 -21.55690  7.424  0.39  0.27
 730 20220911 081759.018 63.97869 -21.55465  7.988  0.92  0.87
 731 20220911 081858.881 63.98210 -21.55387  8.829  0.32  0.17
 732 20220911 081916.814 63.97838 -21.55622  7.652  0.77  0.69
 733 20220911 081940.477 66.59159 -17.70016  1.229  1.16  1.02
 734 20220911 081959.175 63.97947 -21.55135  7.207  1.55  1.31
 735 20220911 082525.946 63.97840 -21.56644  2.361 -0.02 -0.11
 736 20220911 082630.672 66.53516 -17.66223  9.835  1.32  1.59
 737 20220911 082718.905 66.41922 -17.97996 14.128  0.38  0.11
 738 20220911 082732.569 63.97467 -21.54687  6.619  0.11 -0.11
 739 20220911 082852.891 63.97476 -21.55639  6.203  0.58  0.73
 740 20220911 082957.486 63.97467 -21.55193  7.278  0.18  0.00
 741 20220911 083239.701 63.97607 -21.55154  7.536  0.06 -0.16
 742 20220911 083312.787 63.97493 -21.55573  6.697  0.10 -0.06
 743 20220911 083453.771 63.97603 -21.54587  5.637  0.16 -0.08
 744 20220911 083509.568 63.97716 -21.55054  7.363  0.59  0.44
 745 20220911 083906.658 63.97594 -21.55374  7.536  0.16 -0.02
 746 20220911 083921.122 63.97655 -21.54683  7.013  0.11  0.02
 747 20220911 083952.646 63.97627 -21.55506  7.486  0.57  0.52
 748 20220911 084039.345 63.97365 -21.55770  6.395  0.43  0.32
 749 20220911 084202.161 63.97656 -21.55719  7.852  0.45  0.23
 750 20220911 084219.249 63.97686 -21.56234  7.738  0.35  0.33
 751 20220911 084545.979 63.97669 -21.55337  7.833  0.25  0.18
 752 20220911 084707.315 63.97548 -21.54463  8.202 -0.15 -0.30
 753 20220911 084738.679 66.63701 -17.93125 10.873  1.24  1.32
 754 20220911 085356.370 63.97111 -21.54895  8.066  0.09 -0.12
 755 20220911 085527.049 63.97806 -21.55384  9.321  0.28 -0.05
 756 20220911 085819.052 63.99122 -21.65020 15.597  1.02  0.43
 757 20220911 092320.936 63.97603 -21.55319  7.651  0.41  0.08
 758 20220911 092444.210 63.97871 -21.55589  8.350  0.14  0.01
 759 20220911 093947.247 63.97746 -21.55015  6.599 -0.10 -0.16
 760 20220911 094031.860 63.98170 -21.54754  8.580  0.57  0.60
 761 20220911 103055.732 63.97653 -21.55308  8.375  0.40  0.15
 762 20220911 112344.438 63.82932 -22.75146  0.271  0.76  0.38
 763 20220911 115814.234 63.82783 -22.71474  5.732  1.38  0.64
 764 20220911 120110.147 63.79374 -22.62927  0.135 -0.26 -0.52
 765 20220911 124259.338 63.75502 -23.30568 13.818  1.66  1.58
 766 20220911 125612.692 63.63236 -19.05482  0.135  1.83  1.04
 767 20220911 133147.493 63.92392 -22.14461  4.767  0.42  0.03
 768 20220911 143603.615 64.62219 -17.41864  0.135  2.61  2.52
 769 20220911 143814.224 66.63123 -17.88107  9.458  1.88  1.93
 770 20220911 144348.594 64.62218 -17.43006  2.115  2.75  2.42
 771 20220911 152559.633 63.83806 -22.65487  6.539  0.40 -0.46
 772 20220911 181257.155 63.94881 -21.96014  5.450  0.58  0.59
 773 20220911 191543.079 63.94749 -21.94997  4.003  0.78  0.75
 774 20220911 195440.609 63.94898 -21.95655  5.173  0.67  0.48
 775 20220911 201536.390 63.94804 -21.95889  3.718  0.18  0.17
 776 20220911 203037.476 63.88335 -22.38275  5.326  0.91  0.10
 777 20220911 204847.213 63.93238 -20.35195  6.090  0.99 -0.01
 778 20220911 212030.612 63.82808 -22.68410  6.046  0.90  0.59
 779 20220911 215448.219 63.97602 -21.55587  8.858  1.42  1.10
 780 20220911 215644.550 63.95953 -21.54345  8.519  0.40  0.18
 781 20220911 220037.475 63.97422 -21.55897  7.916  1.22  1.03
 782 20220911 220216.963 63.97210 -21.55614  8.106  0.96  0.70
 783 20220911 220240.921 63.89352 -22.37388  5.213  0.55 -0.10
 784 20220911 222642.841 63.97670 -21.55641  8.492  1.32  1.11
 785 20220911 222913.594 66.63520 -18.98117  7.505  1.40  1.38
 786 20220911 223048.034 63.84040 -22.73390  4.827  0.23 -0.16
 787 20220911 231610.745 64.06123 -21.22767  3.595  2.05  1.31
 788 20220911 233421.554 63.98420 -16.68847 12.309  0.89 -0.02
 789 20220911 235017.560 66.63913 -17.90905 10.044  3.80  4.10
