"år","nastatus","befolkning_1_januar","levendefødte_i_alt","fødte_utenfor_ekteskap","dødfødte","døde_i_alt","døde_under_1_år","inngåtte_ekteskap","skilsmisser","innflyttinger","utflyttinger","levendefødte_per_1000","døde_per_1000","folketilvekst_absolutte_tall","folketilvekst_prosent"
"1990",NA,4233116,60939,23503,266,46021,428,21123,10170,25494,23784,14.37,10.85,16714,0.39
"1991",NA,4249830,60808,24844,284,44923,387,19065,10281,26283,18238,14.27,10.54,23804,0.56
"1992",NA,4273634,60109,25801,259,44731,353,18627,10209,26743,16801,14.02,10.44,25533,0.6
"1993",NA,4299167,59678,26526,253,46597,301,18741,10805,31711,18903,13.84,10.81,25648,0.6
"1994",NA,4324815,60092,27581,276,44071,312,19866,10795,26911,19475,13.85,10.16,23595,0.55
"1995",NA,4348410,60292,28690,236,45190,244,20981,10183,25678,19312,13.83,10.37,21547,0.5
"1996",NA,4369957,60927,29435,276,43860,246,22478,9836,26407,20590,13.91,10.01,22757,0.52
"1997",NA,4392714,59801,29133,230,44595,247,22933,9813,31957,21257,13.58,10.12,24885,0.57
"1998",NA,4417599,58352,28573,247,44112,232,22349,9213,36704,22881,13.17,9.95,27730,0.63
"1999",NA,4445329,59298,29100,241,45170,232,23456,9124,41841,22842,13.29,10.12,33168,0.75
"2000",NA,4478497,59234,29368,225,44002,225,25356,10053,36542,26854,13.19,9.8,24939,0.56
"2001",NA,4503436,56696,28194,241,43981,223,22967,10308,34264,26309,12.56,9.74,20630,0.46
"2002",NA,4524066,55434,27890,197,44465,192,24069,10450,40122,22948,12.22,9.8,28186,0.62
"2003",NA,4552252,56458,28218,213,42478,190,22361,10757,35957,24672,12.37,9.31,25205,0.55
"2004",NA,4577457,56951,29252,210,41200,185,22354,11045,36482,23271,12.4,8.97,28906,0.63
"2005",NA,4606363,56756,29374,182,41232,175,22392,11040,40148,21709,12.28,8.92,33856,0.73
"2006",NA,4640219,58545,31158,201,41253,185,21721,10598,45776,22053,12.56,8.85,40915,0.88
"2007",NA,4681134,58459,31983,241,41954,180,23471,10280,61774,22122,12.41,8.91,56037,1.19
"2008",NA,4737171,60497,33424,221,41712,163,25125,10158,66961,23615,12.69,8.75,62081,1.3
"2009",NA,4799252,61807,34038,215,41449,192,24582,10235,65186,26549,12.8,8.58,58947,1.22
"2010",NA,4858199,61442,33655,190,41499,171,23577,10228,73852,31506,12.65,8.54,62106,1.28
"2011",NA,4920305,60220,33099,198,41393,142,23135,10207,79498,32466,12.23,8.41,65565,1.33
"2012",NA,4985870,60255,33301,184,41992,150,24346,9929,78570,31227,12.09,8.42,65405,1.31
"2013",NA,5051275,58995,33442,166,41282,147,23410,9736,75789,35716,11.68,8.17,57781,1.14
"2014",NA,5109056,59084,33589,207,40394,144,22887,9556,70030,31875,11.5,7.9,56746,1.11
"2015",NA,5165802,59058,33148,162,40727,139,22738,9306,67276,37474,11.38,7.85,48183,0.93
"2016",NA,5213985,58890,33254,183,40726,128,22537,9345,66800,40724,11.29,7.81,44332,0.85
"2017",NA,5258317,56633,31693,139,40774,130,22111,9848,58192,36843,10.73,7.75,37302,0.71
"2018",NA,5295619,55120,31103,148,40840,129,20949,9545,52485,34382,10.41,7.71,32593,0.62
"2019",NA,5328212,54495,31535,123,40684,114,19855,9609,52153,26826,10.19,7.61,39368,0.74
"2020",NA,5367580,52979,31002,133,40611,92,16151,9355,38071,26744,9.85,7.55,23789,0.44
"2021",NA,5391369,56060,34131,120,42002,104,0,0,53947,34297,10.37,7.77,33901,0.63
"2022",NA,5425270,51480,32466,102,45774,97,0,0,90475,32536,9.43,8.39,63714,1.17
"1735","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1736","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1737","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1738","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1739","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1740","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1741","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1742","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1744","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1745","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1746","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1747","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1749","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1750","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1751","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1752","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1753","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1754","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1755","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1756","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1757","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1758","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1759","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1760","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1761","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1762","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1763","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1764","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1765","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1766","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1767","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1768","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1769","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1784","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1785","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1786","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1787","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1788","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1789","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1790","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1791","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1792","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1793","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1794","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1795","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1796","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1797","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1798","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1799","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1800","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1770","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1771","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1772","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1773","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1774","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1775","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1776","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1777","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1778","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1779","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1780","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1781","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
